family,context,variant,seed,evidence_level,motion_group,prediction_files,prediction_rows,unmatched_predictions_global,references,matched_recall_micro,recall_at_threshold_micro,mean_localization_error_deg_micro,median_localization_error_deg_micro,p90_localization_error_deg_micro,matched_recall_macro_class,recall_at_threshold_macro_class,mean_localization_error_deg_macro_class,prediction_dir,split,source
Multi-ACCDOA,causal,C2_lambda005,2028,completion_three_seed,static,100.0,41842.0,15280.0,31428.0,0.4449853633702431,0.3785477917780323,14.320251039903628,10.623649856590934,24.2580051417661,0.3807106273422268,0.3255242387080433,14.399644859660096,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_promoted_v2_C2_lambda005_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C2_lambda005,2028,completion_three_seed,dynamic,100.0,41842.0,15280.0,26274.0,0.4786861536119357,0.3916038669407018,14.347709366502558,11.840010424931656,25.094638437898478,0.47782179356459914,0.3765573714695559,16.235907564640794,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_promoted_v2_C2_lambda005_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C0,2028,completion_three_seed,static,100.0,39711.0,13019.0,31428.0,0.4362033855161003,0.36082474226804123,13.842251867405126,10.502876454971522,26.30348987296836,0.3739263664162702,0.30843943098489934,14.646026274422914,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_C0_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C0,2028,completion_three_seed,dynamic,100.0,39711.0,13019.0,26274.0,0.49413869224328233,0.3865037679835579,15.297352519339674,12.415040124486767,27.486018335225012,0.4868782012552562,0.36532710022718823,17.13064716518165,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_C0_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C0,2026,completion_three_seed,static,100.0,41286.0,14400.0,31428.0,0.45946289932544226,0.3788023418607611,15.300213450821614,11.660404598931748,25.024297015006344,0.38422875121407385,0.3178715232899588,14.933460201084165,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_C0_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C0,2026,completion_three_seed,dynamic,100.0,41286.0,14400.0,26274.0,0.4737002359747279,0.3726117073913374,14.96914298065989,12.151078547249451,26.54237804959,0.46404275092589714,0.34980450279522024,16.67529806620689,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_paper_v1_C0_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C1_lambda005,2026,completion_three_seed,static,100.0,40025.0,13211.0,31428.0,0.454785541555301,0.3802341860761105,14.108945434833325,10.767171989804508,23.21829221435619,0.39352327301305007,0.32412806911944647,14.362999929560695,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_pilot_v2_C1_lambda005_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C1_lambda005,2026,completion_three_seed,dynamic,100.0,40025.0,13211.0,26274.0,0.4765547689731293,0.3771408997488011,14.806667271050927,12.001514613427634,26.831405933487556,0.48608358042292876,0.3734475327183595,15.875208383215693,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_pilot_v2_C1_lambda005_seed2026_validation_seed2026_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C3_lambda005,2027,completion_three_seed,static,100.0,39600.0,13210.0,31428.0,0.4376670484917908,0.36820669466717576,13.845944371581835,10.439885362849543,25.810755250111345,0.37377493760275715,0.3068518653626729,13.982600466610807,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_C3_lambda005_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C3_lambda005,2027,completion_three_seed,dynamic,100.0,39600.0,13210.0,26274.0,0.48089365913069954,0.3956763340184212,13.839304813634575,11.569718437630621,24.61840815452968,0.4709651618132538,0.36625785030417113,15.579563901954227,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_C3_lambda005_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C3_lambda005,2028,completion_three_seed,static,100.0,39532.0,13523.0,31428.0,0.4306987399770905,0.3599656357388316,14.229181457752802,10.50862617548431,25.19434322332501,0.358709961396645,0.2976570760098814,14.708984032444764,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_C3_lambda005_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,causal,C3_lambda005,2028,completion_three_seed,dynamic,100.0,39532.0,13523.0,26274.0,0.4747278678541524,0.38395371850498594,14.034685555543488,11.64699558657084,25.657226569883168,0.4570371585700987,0.3523601097514221,15.701831869101344,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_C3_lambda005_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A3_lambda005,2027,completion_three_seed,static,100.0,47070.0,13591.0,31428.0,0.5715285732467863,0.481004200076365,13.98665731341119,10.87080094851748,24.08559565103019,0.4829154002880217,0.40328691390105986,14.174616373032402,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_A3_lambda005_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A3_lambda005,2027,completion_three_seed,dynamic,100.0,47070.0,13591.0,26274.0,0.590583847149273,0.4737763568546852,14.43241074478413,11.5551890073811,26.58709625587734,0.5546037638985942,0.45112941643349364,15.27302272573438,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_A3_lambda005_seed2027_validation_seed2027_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A3_lambda005,2028,completion_three_seed,static,100.0,45831.0,13892.0,31428.0,0.5405689194348988,0.4519854906452845,14.04121962520575,10.824554039373306,24.410013713103083,0.4733720418815154,0.3959474979974025,14.584432890457707,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_A3_lambda005_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
Multi-ACCDOA,noncausal,A3_lambda005,2028,completion_three_seed,dynamic,100.0,45831.0,13892.0,26274.0,0.569003577681358,0.4494937961482835,14.416171630216983,11.977409240184793,26.68494822494146,0.5354075440436632,0.42048737790748036,14.909787406386743,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_supplemental_v2_A3_lambda005_seed2028_validation_seed2028_validation_t050,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
EINV2,causal,C0.1,2026,completion_three_seed,static,100.0,47841.0,14524.0,31428.0,0.5847969963090238,0.499013618429426,16.70868861139254,7.567090432698885,29.025975237274423,0.5866744522347479,0.510391120565798,14.975948255191957,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2026_validation/submissions,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
EINV2,causal,C0.1,2026,completion_three_seed,dynamic,100.0,47841.0,14524.0,26274.0,0.5685468524016137,0.5036538022379539,14.124713956792394,7.806831763233657,22.041211643777427,0.5332161361148696,0.4731701747168694,14.46229659688278,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2026_validation/submissions,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
EINV2,causal,C0.1,2027,completion_three_seed,static,100.0,47963.0,14818.0,31428.0,0.5900470917653048,0.5392007127402316,11.32172670185269,7.272260863682449,18.352114383441425,0.5752801669440498,0.5308383238374921,10.576293094969895,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2027_validation/submissions,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
EINV2,causal,C0.1,2027,completion_three_seed,dynamic,100.0,47963.0,14818.0,26274.0,0.5557204841287965,0.5076882088756947,11.554120701266575,7.6293584033795065,18.66946467547922,0.516957195925517,0.47423832196152216,11.93403147977211,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2027_validation/submissions,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
EINV2,causal,C0.1,2028,completion_three_seed,static,100.0,45258.0,12297.0,31428.0,0.5817423953162785,0.49312714776632305,15.209282280313358,8.597742548593443,26.08730791374865,0.5785644962079114,0.49244412735816506,14.422838474610824,/work/zhanghc/Myllm/SELD/EINV2/C0p1_CausalEINV2_fix_seed2026/out_infer/ein_seld/Completion_20260904_EINV2_C0_bestfix_seed2028_validation/submissions,validation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/results/motion_validation/motion_stratified_runs.csv
