cohort,variant,baseline,seed,split,ER20_delta,F20_delta,LE_CD_delta,LR_CD_delta,SELD_LR_delta
historical_EINV2_noncausal,E1,E0,2026,validation,-0.001492982979994062,-0.0008754453334409718,0.09211894831139844,0.0015572578062892362,-0.0004157558794448124
historical_EINV2_noncausal,E1,E0,2027,evaluation,-0.006254188072369882,0.009250497772721689,0.02941297817812938,0.0037192416987623655,-0.004765130527382755
historical_EINV2_noncausal,E1,E0,2027,validation,-0.01567632128993729,0.005935084360069287,-0.17783003603839553,6.603423935103159e-05,-0.005666346133503919
historical_EINV2_noncausal,E1,E0,2028,evaluation,-0.019283746556473857,0.014926462322568224,-0.3827028303149138,0.014074979752711436,-0.012602828866709076
historical_EINV2_noncausal,E1,E0,2028,validation,-0.004478948939982075,0.004010397326401849,-0.1917950792755594,0.002232851724473961,-0.0029469315522638317
historical_EINV2_noncausal,E2,E0,2026,evaluation,0.0018613654977291394,-0.013820700133235109,1.4219812611375158,-0.008662134211154804,0.00806102393433189
historical_EINV2_noncausal,E2,E0,2026,validation,-0.002388772767990488,-0.0004416659258605904,0.8378739871672263,0.0029799341707202887,-6.804638214696901e-05
historical_EINV2_noncausal,E2,E0,2027,evaluation,-0.004765095674186592,0.0019431985322850842,-0.08220620508287801,-0.012829255310656484,0.0014160649912088319
historical_EINV2_noncausal,E2,E0,2027,validation,-0.007912809793968356,0.01109278510505729,-0.1959639367246524,0.005092526189413693,-0.006296702406449695
historical_EINV2_noncausal,E2,E0,2028,evaluation,0.017422381058744663,-0.028135248354469122,2.8779568427772197,0.0032843017261056096,0.014565494203412077
historical_EINV2_noncausal,E2,E0,2028,validation,0.03956404896984178,-0.03520549568573772,2.597761596998673,0.0005598674592256492,0.022160421517142204
historical_EINV2_noncausal,E3,E0,2026,evaluation,0.0051373687737324425,-0.008939946989019565,0.12127404819441168,-0.005767797961350407,0.00512971460907341
historical_EINV2_noncausal,E3,E0,2026,validation,0.02269334129590922,-0.016407888042036523,-0.8507784003239944,-0.02453405105849349,0.01472718343199314
historical_EINV2_noncausal,E3,E0,2027,evaluation,0.03231330504057778,-0.027470745584811107,2.313514276561463,-0.01977600889402753,0.02310322915285612
historical_EINV2_noncausal,E3,E0,2027,validation,0.026724395341893137,-0.023745918670228572,1.5564492240584489,-0.00016012866999837172,0.014819345703944498
historical_EINV2_noncausal,E3,E0,2028,evaluation,0.029409574864120325,-0.034371112734355336,2.9326968002856404,-0.00227141985948065,0.020586216864885792
historical_EINV2_noncausal,E3,E0,2028,validation,0.04419229620782328,-0.03853753330252763,2.028437573162579,-0.008562286593350343,0.025640303433095535
historical_Multi-ACCDOA_causal,C1_lambda005,C0,2026,evaluation,-0.006179733452460812,0.0035558789378680733,-0.3112258914609036,-0.006620500404333485,-0.0012110361790834134
