cohort,variant,split,n_runs,n_scored,seeds,dataset,profile,ER20_mean,ER20_sd,F20_mean,F20_sd,LE_CD_mean,LE_CD_sd,LR_CD_mean,LR_CD_sd,SELD_LR_mean,SELD_LR_sd
audited_rabbit02,C2,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6433263660794267,0.021505693015286084,0.5513631130111928,0.017359068580466486,13.57775191782124,1.666186248759109,0.675119733654225,0.011369871600333118,0.37306886862825395,0.00959288252444716
audited_rabbit02,C3_j020,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6287692651329015,0.0405000283347372,0.549994407232278,0.03530565467990584,15.329640416183631,1.6737319422542525,0.6974682917049091,0.011163081549508699,0.3666178087936281,0.021344818489337426
audited_rabbit02,C3_j020,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6413357221061013,0.014444433512823608,0.5403013728423144,0.021398759677951237,15.497275274242844,1.5206862808674524,0.6811000951646173,0.008775716806046996,0.3765075569612408,0.010975560981262818
historical_EINV2_causal,C0.1,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6334847243938153,0.04603935201571446,0.5753803183823026,0.017886840839501424,13.596095754052907,1.089400438122326,0.7088382833317113,0.005673382653121104,0.35619999699502386,0.01658656728329337
historical_EINV2_causal,C0.1,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6483527421120733,0.03564364630369805,0.5463592012014793,0.019831945466929676,14.743017461006675,2.2509468887702955,0.6835834692887628,0.006768099356593809,0.3750789310457448,0.013440404637603922
historical_EINV2_causal,C1,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6685280321643958,0.040657199443448255,0.5564557767303389,0.005664671234994065,14.511346350637837,1.4758085402047698,0.6978543138397412,0.01634423419293454,0.3737091331077982,0.011706496683315184
historical_EINV2_causal,C1,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6639792973026774,0.008004301196576044,0.5392176281183985,0.020201801041661794,15.23291198479973,2.547002754172633,0.6788710583444326,0.005285583803256598,0.3826294749110723,0.009667969521371703
historical_EINV2_causal,C2,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.638572456754275,0.002153185042239936,0.5621258125970751,0.009950496240782177,14.383805647131378,1.396165106624582,0.6958712940949211,0.013693232277441042,0.3651213453588077,0.005050885341311002
historical_EINV2_causal,C2,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.659002687369364,0.023207602846556173,0.5373169330872316,0.021714794755124528,15.513935488638907,1.8267746495508133,0.6798405026707577,0.00520407748742072,0.3820084455259532,0.01344406409634865
historical_EINV2_causal,C3,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6507581962127417,0.01879582265231071,0.5744143855909427,0.008205348900727633,13.065626013860738,0.24510814735368616,0.7029994390126353,0.012880310285540033,0.36148279569931974,0.006196860230506321
historical_EINV2_causal,C3,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6384492883447795,0.0039056084718290577,0.5691126888207566,0.011120249530564895,12.955051492229957,1.1025960958874046,0.6930381627347936,0.010974002947608575,0.36206773626984895,0.006912753016984943
historical_EINV2_noncausal,E0,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.37609510336783064,0.005336029859094196,0.722957017962211,0.007630686656978083,10.28638392329191,0.47367758059235204,0.7850490286610236,0.0026070177717684656,0.23130890852405445,0.0029452276953595455
historical_EINV2_noncausal,E0,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.4281377525629541,0.014110334769316389,0.6809402817242757,0.011959993233119824,10.226414588798251,0.33186789763358865,0.7474960244439492,0.006737879830173643,0.2641287151942354,0.00865173697034912
historical_EINV2_noncausal,E1,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.3649517285880922,0.004614584981957759,0.7295973871927822,0.006661127632909703,10.150181079342305,0.5798023779612196,0.7877512177492968,0.01323456289092606,0.22599825463281206,0.005062542116496829
historical_EINV2_noncausal,E1,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.42092166815964965,0.007340457476855694,0.6839636271752857,0.00852613469691361,10.133912533130733,0.22798605212999573,0.748781405700654,0.00756023585594374,0.2611190373391646,0.006027026616245991
historical_EINV2_noncausal,E2,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.38093465366192636,0.015328311910906032,0.709619434643738,0.013388022579944855,11.692294556235863,1.2494443047916592,0.7789799993957883,0.007704719944564927,0.23932310290037206,0.006977665374722813
historical_EINV2_noncausal,E2,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.4378919080322484,0.028002486840149676,0.6727554895554286,0.024999642930118547,11.306305137945333,1.2965334794678347,0.7503734670504024,0.005926330792330727,0.26939393943708395,0.015676584787276168
historical_EINV2_noncausal,E3,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.3983818529273075,0.019665089370130655,0.6993630828594823,0.019566167768985916,12.075545631639082,1.8229663823081554,0.7757772864227374,0.007180501532572746,0.24758196206632624,0.012674213343565348
historical_EINV2_noncausal,E3,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.4593410968448293,0.019537742143628897,0.6547098350526781,0.019372311134584493,11.137784054430595,1.7969675071822802,0.7364105356700018,0.00599479015691245,0.2825243260505798,0.010744658205243477
historical_Multi-ACCDOA_causal,C0,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.610527883255156,0.006362712517452806,0.4897955774263219,0.006904557874263729,15.344315821941825,0.10638319284168395,0.5679023864733894,0.008786345592587884,0.40951902959155817,0.0051851686046654145
historical_Multi-ACCDOA_causal,C0,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.636010749477456,0.008538766328951203,0.46812173726579087,0.00483872096105147,15.72055644356045,0.5212001393379733,0.5463941526732122,0.001224160202811447,0.4272078210562249,0.004260386315957403
historical_Multi-ACCDOA_causal,C1_lambda005,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6061598788871516,0.0086419760961696,0.48881521034238234,0.01015257629244544,15.221758225755169,0.19087312512250765,0.5580534187866029,0.008879090213134945,0.41096414330864606,0.007123094350176938
historical_Multi-ACCDOA_causal,C1_lambda005,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6250124415248333,0.002570070933348334,0.475177517672742,0.004400552210032382,15.495150571032667,0.3706756799609238,0.5519578671829414,0.0077247058323817565,0.42099030662705506,0.0022081934434053344
historical_Multi-ACCDOA_causal,C2_lambda005,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6157397066487976,0.013992517227056626,0.48790135581462873,0.008522637559494811,15.093800459582742,0.27536206648230893,0.5639132942077035,0.004347881017214536,0.4119448759060368,0.005721553360660516
historical_Multi-ACCDOA_causal,C2_lambda005,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6331243157161341,0.005863325157894439,0.4737851788186096,0.006916917578562927,15.598808944927859,0.5605268656527876,0.5522151891948704,0.006665625224191893,0.42344599934917443,0.004280896566526001
historical_Multi-ACCDOA_causal,C3_lambda005,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6112227930409748,0.010223444444927543,0.49040594738424426,0.013370101832342916,14.541768398551259,0.1551501773913607,0.5461263834831709,0.019534382840658164,0.41386951609693334,0.010507178019388823
historical_Multi-ACCDOA_causal,C3_lambda005,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.6332238479148005,0.008595139884326279,0.4689387795770496,0.0052608334232988425,15.152491743277224,0.34859636606335986,0.5367604762939145,0.00943916249696937,0.4279262754321774,0.0038227208833771092
historical_Multi-ACCDOA_noncausal,A0,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.5207107934380661,0.010809347599883855,0.5479709270350063,0.00868519442359991,14.951068077936755,0.36489915340255125,0.6273774932676056,0.008101202913765133,0.35710596561433133,0.006891675802677334
historical_Multi-ACCDOA_noncausal,A0,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.5479745197571414,0.014336005791586788,0.5275226839242879,0.01556479427805569,14.6620930821978,0.4771464630361796,0.5987390570460445,0.005837121637803602,0.37579221286642145,0.00806617592346698
historical_Multi-ACCDOA_noncausal,A3_lambda005,evaluation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.5401434492343583,0.007546897936569643,0.5306136301519142,0.006595980102390094,14.913027794591635,0.3494357576231063,0.5993624306528,0.0121021693017276,0.3732543857110105,0.005692360509858647
historical_Multi-ACCDOA_noncausal,A3_lambda005,validation,3,3,"2026,2027,2028",TAU2020 FOA,dcase2023_micro,0.5613616004777545,0.005875983473918901,0.5202416760529319,0.008521491774242045,14.671177804197223,0.04234632045456833,0.5817725181039681,0.015821266410318956,0.3852134874193764,0.007424132261813738
