host,record_type,path,run_id,variant,seed,status,checkpoint,prediction_dir,original_metric_protocol,best_validation_json,evaluation_json,n_logged_rows,last_row_json,minimum_logged_selection_metric,minimum_logged_row_json
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_paper_v1_A0_seed2028_validation.json,Completion_20260904_paper_v1_A0_seed2028_validation,A0,2028,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/32_paper_v1_A0_seed2028_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/32_paper_v1_A0_seed2028_eval_split0_multiaccdoa_foa_20260902113350_test,as_recorded_NOT_relabelled,"{""ER"": 0.558594917787743, ""F"": 0.5134719637511126, ""LE"": 15.043828562864853, ""LR"": 0.5955575432319619, ""SELD"": 0.3832855590384794, ""epoch"": 98}","{""ER"": [0.5203422909473052, [0.4988931395829565, 0.543683091515296]], ""F"": [0.5521417901409019, [0.5274465839033995, 0.5737848588548848]], ""LE"": [14.676493174802108, [13.862544134762029, 15.51002887724724]], ""LR"": [0.6233756534727408, [0.5996643795687279, 0.644460162325765]], ""SELD"": [0.3565902301317519, [0.3407063525912801, 0.3743939493145044]]}",,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_supplemental_v2_C3_lambda005_seed2027_evaluation.json,Completion_20260904_supplemental_v2_C3_lambda005_seed2027_evaluation,C3,2027,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/42_supplemental_v2_C3_lambda005_seed2027_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.6210762331838565, ""F"": 0.4756176853055917, ""LE"": 14.779798276970789, ""LR"": 0.5354424712729443, ""SELD"": 0.423031516758234, ""epoch"": 96}",{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_supplemental_v2_C3_lambda005_seed2028_evaluation.json,Completion_20260904_supplemental_v2_C3_lambda005_seed2028_evaluation,C3,2028,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/42_supplemental_v2_C3_lambda005_seed2028_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.633034379671151, ""F"": 0.467031620230411, ""LE"": 15.227669671397896, ""LR"": 0.5283497463443748, ""SELD"": 0.4305627944843661, ""epoch"": 96}",{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/runtime/manifests/Completion_20260904_pilot_v2_C2_lambda005_seed2026_validation.json,Completion_20260904_pilot_v2_C2_lambda005_seed2026_validation,C2,2026,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/41_pilot_v2_C2_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.6261584454409567, ""F"": 0.4763048350944605, ""LE"": 15.674344349791395, ""LR"": 0.560077519379845, ""SELD"": 0.41921394544970647, ""epoch"": 82}",{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/ObjectStateSELD/data_intermediate/manifests/manifest_build_summary_v0.json,,,,UNKNOWN,,,as_recorded_NOT_relabelled,{},{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/ObjectStateSELD/data_intermediate/manifests/data_audit_v0.json,,,,PASS,,,as_recorded_NOT_relabelled,{},{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_pilot_v2_C2_lambda005_seed2026_eval_split0_multiaccdoa_foa.json,pilot_v2_C2_lambda005_seed2026,C2,2026,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/41_pilot_v2_C2_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,,as_recorded_NOT_relabelled,"{""ER"": 0.6261584454409567, ""F"": 0.4763048350944605, ""LE"": 15.674344349791395, ""LR"": 0.560077519379845, ""SELD"": 0.41921394544970647, ""epoch"": 82}",{},,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/52_paper_v1_A3_seed2026_eval_split0_multiaccdoa_foa.json,paper_v1_A3_seed2026,A3,2026,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/52_paper_v1_A3_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/52_paper_v1_A3_seed2026_eval_split0_multiaccdoa_foa_20260902094604_test,as_recorded_NOT_relabelled,"{""ER"": 0.5804185351270553, ""F"": 0.4942302760919737, ""LE"": 14.621440355753311, ""LR"": 0.5425246195165622, ""SELD"": 0.40622346592928726, ""epoch"": 81}","{""ER"": [0.5565981083921333, [0.5367809549918021, 0.5792338793744432]], ""F"": [0.5133437328723808, [0.48753491429037527, 0.5346245444762834]], ""LE"": [15.116444391962395, [14.344164926635479, 15.958002492013243]], ""LR"": [0.5625560538116592, [0.5390595962380214, 0.5834109288333]], ""SELD"": [0.39116964208252664, [0.375883991227228, 0.4090485650418098]]}",,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/45_C3_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,C3_smoke_seed2026_strictcausal_v1,C3,2026,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/45_C3_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/45_C3_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa_20260902085239_test,as_recorded_NOT_relabelled,"{""ER"": 1.0, ""F"": 0.0, ""LE"": 180, ""LR"": 0.0, ""SELD"": 1.0, ""epoch"": 1}","{""ER"": [1.0, [1.0, 1.0]], ""F"": [0.0, [0.0, 0.0]], ""LE"": [180, [180.0, 180.0]], ""LR"": [0.0, [0.0, 0.0]], ""SELD"": [1.0, [1.0, 1.0]]}",,,,
rabbit02,manifest,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/43_C1_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,C1_smoke_seed2026_strictcausal_v1,C1,2026,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/43_C1_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/results/43_C1_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa_20260902085236_test,as_recorded_NOT_relabelled,"{""ER"": 1.0, ""F"": 0.0, ""LE"": 180, ""LR"": 0.0, ""SELD"": 1.0, ""epoch"": 1}","{""ER"": [1.0, [1.0, 1.0]], ""F"": [0.0, [0.0, 0.0]], ""LE"": [180, [180.0, 180.0]], ""LR"": [0.0, [0.0, 0.0]], ""SELD"": [1.0, [1.0, 1.0]]}",,,,
