run_id,variant,seed,lambda_velocity,lambda_jepa,split,status,manifest_path,metric_protocol,ER,F,LE,LR,SELD
paper_v1_C3_seed2026,C3,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/42_paper_v1_C3_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6265575739378472,0.46525952693823913,15.255462292192924,0.521700089793475,0.4310876313740234
paper_v1_C0_seed2028,C0,2028,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/35_paper_v1_C0_seed2028_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6284005979073244,0.4692214602662364,15.338391163046975,0.5473134328358209,0.4242697472611042
paper_v1_C0_seed2028,C0,2028,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/35_paper_v1_C0_seed2028_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6127458339588651,0.4847490192938916,15.214875267063169,0.5591751344889421,0.4133371912482623
paper_v1_A2_seed2026,A2,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/51_paper_v1_A2_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6002989536621823,0.4823480083857442,15.282785272034166,0.5451290466955094,0.41443156530083514
paper_v1_A2_seed2026,A2,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/51_paper_v1_A2_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5593004053445428,0.5110124780169165,15.305599270844306,0.5683754296816619,0.39123590117655266
paper_v1_C3_seed2028,C3,2028,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/42_paper_v1_C3_seed2028_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6364723467862481,0.4417805348310839,16.106794752636798,0.5153007911628601,0.44221830346562707
paper_v1_C3_seed2028,C3,2028,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/42_paper_v1_C3_seed2028_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6269328929590151,0.45984212504698657,15.317699804299037,0.5056104129263914,0.43664467180793576
supplemental_v2_A3_lambda005_seed2027,A3,2027,0.05,0.05,validation,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/52_supplemental_v2_A3_lambda005_seed2027_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5527653213751869,0.5306885619055361,14.667371776428999,0.5994928400954654,0.376017329533031
paper_v1_C0_seed2026,C0,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6430493273542601,0.46385397486190055,16.313510817148877,0.5454816582165225,0.43108607748166605
paper_v1_C0_seed2026,C0,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/35_paper_v1_C0_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.5996096682179853,0.49863694676074405,15.319997833608804,0.5748096162460803,0.40281855107169134
A3_smoke_seed2026_strictcausal_v1,A3,2026,0.2,0.2,validation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/55_A3_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.065217391304348,0.0,61.56197431127047,0.010869565217391304,0.8490896986207259
A3_smoke_seed2026_strictcausal_v1,A3,2026,0.2,0.2,evaluation,completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/55_A3_smoke_seed2026_strictcausal_v1_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,1.072361507281189,0.00024475310530502355,94.53940492046821,0.011935144873142171,0.8963501313818912
pilot_v2_C1_lambda005_seed2026,C1,2026,0.05,0.0,validation,validation_completed,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/40_pilot_v2_C1_lambda005_seed2026_eval_split0_multiaccdoa_foa.json,original_manifest_NOT_current_aligned,0.6210762331838565,0.4771088242443886,15.17429117543716,0.5432577565632458,0.4212528175043849
