family,context,variant,weight,split,profile,n,seeds,ER20_mean,ER20_sample_sd,F20_mean,F20_sample_sd,LE_CD_mean,LE_CD_sample_sd,LF_CD_mean,LF_CD_sample_sd,SELD_LF_mean,SELD_LF_sample_sd,LR_CD_mean,LR_CD_sample_sd,SELD_LR_mean,SELD_LR_sample_sd
EINV2,noncausal,E1,0.2,validation,dcase2020_web_lr,3,"2026,2027,2028",0.38506009432527005,0.008328748329938239,0.7034796403498117,0.008260572677825814,10.09189208784407,0.26594750835670666,,,,,0.7596226989198235,0.006943540975045786,0.24450595555258103,0.006229907930420262
EINV2,noncausal,E1,0.2,validation,dcase2023_macro,3,"2026,2027,2028",0.42092166815964965,0.007340457476855694,0.6697031535020831,0.01441835253791533,9.7453229583813,0.38722831059720597,,,,,0.7377183089319892,0.005857513707041319,0.26691022220692395,0.007305555959490828
EINV2,noncausal,E1,0.2,validation,dcase2023_micro,3,"2026,2027,2028",0.42092166815964965,0.007340457476855694,0.6839636271752857,0.00852613469691361,10.133912533130733,0.22798605212999576,,,,,0.748781405700654,0.007560235855943739,0.2611190373391646,0.006027026616245991
EINV2,noncausal,E2,0.2,evaluation,dcase2020_source,3,"2026,2027,2028",0.35444958652606023,0.009505777282713774,0.7238548117723739,0.0105906951863835,11.730222890498757,1.2259283972138537,0.8061107198887,0.009382928758955614,0.22241298995305042,0.004437631941368952,,,,
EINV2,noncausal,E2,0.2,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.35444958652606023,0.009505777282713774,0.7238548117723739,0.0105906951863835,11.730222890498757,1.2259283972138537,,,,,0.7866120425865514,0.009194081104671263,0.22728765927858757,0.004450932650565795
EINV2,noncausal,E2,0.2,evaluation,dcase2023_macro,3,"2026,2027,2028",0.38093465366192636,0.015328311910906032,0.7243643498705093,0.011886075043829974,10.860957373360332,1.2105824333473572,,,,,0.777351399428127,0.0087622447099675,0.23488938910937848,0.006514790951031881
EINV2,noncausal,E2,0.2,evaluation,dcase2023_micro,3,"2026,2027,2028",0.38093465366192636,0.015328311910906032,0.709619434643738,0.013388022579944854,11.692294556235863,1.2494443047916592,,,,,0.7789799993957883,0.007704719944564926,0.23932310290037206,0.006977665374722813
EINV2,noncausal,E2,0.2,validation,dcase2020_source,3,"2026,2027,2028",0.3977889345301486,0.027057536444112774,0.6932125314356651,0.02633699879048355,11.262662450471238,1.303314295301565,0.7703519175393363,0.006743428090028325,0.24919870812555242,0.016206650196931415,,,,
EINV2,noncausal,E2,0.2,validation,dcase2020_web_lr,3,"2026,2027,2028",0.3977889345301486,0.027057536444112774,0.6932125314356651,0.02633699879048355,11.262662450471238,1.303314295301565,,,,,0.7607383741569045,0.006558404156588889,0.2516020939711604,0.015699651124322648
EINV2,noncausal,E2,0.2,validation,dcase2023_macro,3,"2026,2027,2028",0.4378919080322484,0.02800248684014968,0.6609737347259037,0.020378811469202042,10.888495145176682,1.387312676392106,,,,,0.7433419176175778,0.001515167809500421,0.2735169738460482,0.013084759334009637
EINV2,noncausal,E2,0.2,validation,dcase2023_micro,3,"2026,2027,2028",0.4378919080322484,0.02800248684014968,0.6727554895554286,0.024999642930118547,11.306305137945333,1.2965334794678347,,,,,0.7503734670504024,0.005926330792330727,0.26939393943708395,0.01567658478727617
EINV2,noncausal,E3,0.2,evaluation,dcase2020_source,3,"2026,2027,2028",0.36471689047366157,0.013890528186759376,0.7149262556096265,0.018128182983806092,12.102934037118553,1.8000469314612304,0.8009862345849442,0.006614460887549619,0.22901073067688182,0.00908186692664802,,,,
