family,context,variant,weight,seed,split,config,checkpoint,prediction_dir,profile,ER20,F20,LE_CD,LF_CD,SELD_LF,LR_CD,SELD_LR
Multi-ACCDOA,causal,C1_lambda005,0.05,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/40_pilot_v2_C1_lambda005_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/40_pilot_v2_C1_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_pilot_v2_C1_lambda005_seed2026_evaluation_seed2026_evaluation_t050,dcase2020_source,0.602913284272817,0.5047615188231956,14.996968249190152,0.615309802650241,0.3915396132681647,,
Multi-ACCDOA,causal,C1_lambda005,0.05,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/40_pilot_v2_C1_lambda005_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/40_pilot_v2_C1_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_pilot_v2_C1_lambda005_seed2026_evaluation_seed2026_evaluation_t050,dcase2020_web_lr,0.602913284272817,0.5047615188231956,14.996968249190152,,,0.5759805781048479,0.401371919404513
Multi-ACCDOA,causal,C1_lambda005,0.05,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/40_pilot_v2_C1_lambda005_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/40_pilot_v2_C1_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_pilot_v2_C1_lambda005_seed2026_evaluation_seed2026_evaluation_t050,dcase2023_micro,0.5973494155312337,0.5001399272378363,15.044067236540993,,,0.566807626678537,0.4034950032322443
Multi-ACCDOA,causal,C1_lambda005,0.05,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/40_pilot_v2_C1_lambda005_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/40_pilot_v2_C1_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_pilot_v2_C1_lambda005_seed2026_evaluation_seed2026_evaluation_t050,dcase2023_macro,0.5973494155312337,0.4300245328109414,38.38170431838785,,,0.4933546903894545,0.4718004707471371
EINV2,causal,C3,0.2,2026,evaluation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2026/checkpoints/rabbit02_gpu4_c3_epoch_77.pth,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation/submissions,dcase2020_source,0.5921402018056293,0.5917478307065697,12.897348085219917,0.660456879759164,0.3528968562866682,,
EINV2,causal,C3,0.2,2026,evaluation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2026/checkpoints/rabbit02_gpu4_c3_epoch_77.pth,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation/submissions,dcase2020_web_lr,0.5921402018056293,0.5917478307065697,12.897348085219917,,,0.7073818374933617,0.34116561685311886
EINV2,causal,C3,0.2,2026,evaluation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2026/checkpoints/rabbit02_gpu4_c3_epoch_77.pth,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation/submissions,dcase2023_micro,0.6326409053681781,0.5824458066504572,12.82912919763499,,,0.7027689109939871,0.3546747819276487
EINV2,causal,C3,0.2,2026,evaluation,/work/zhanghc/Myllm/SELD/experiment_completion_20260904/configs/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation.yaml,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_train/ein_seld/C3_CausalEINV2_Velocity_JEPA_seed2026/checkpoints/rabbit02_gpu4_c3_epoch_77.pth,/work/zhanghc/Myllm/SELD/EINV2/C3_CausalEINV2_Velocity_JEPA_seed2026/out_infer/ein_seld/Completion_20260904_C3_CausalEINV2_Velocity_JEPA_seed2026_evaluation/submissions,dcase2023_macro,0.6326409053681781,0.5696960873765021,11.641807101844321,,,0.671251417202883,0.3640925267275375
Multi-ACCDOA,causal,C2_lambda005,0.05,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_pilot_v2_C2_lambda005_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/41_pilot_v2_C2_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_pilot_v2_C2_lambda005_seed2026_evaluation_seed2026_evaluation_t050,dcase2020_source,0.6045064866095137,0.5013771872974723,15.02980256295762,0.612848347375243,0.3934449637660852,,
Multi-ACCDOA,causal,C2_lambda005,0.05,2026,evaluation,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/manifests/41_pilot_v2_C2_lambda005_seed2026_eval_split0_multiaccdoa_foa.json#params,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/models/41_pilot_v2_C2_lambda005_seed2026_eval_split0_multiaccdoa_foa_model.h5,/work/zhanghc/Myllm/SELD/DynamicCausalMultiACCDOA_TAU2020/runs/analysis/threshold_predictions/Completion_20260904_pilot_v2_C2_lambda005_seed2026_evaluation_seed2026_evaluation_t050,dcase2020_web_lr,0.6045064866095137,0.5013771872974723,15.02980256295762,,,0.5739321751005235,0.40317400683476506
